id_other_stats,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
69,21800264,0,1610612744,GSW,Golden State,30,8,16,2,3,4,0,17,8,24,1610612760,OKC,Oklahoma City,66,16,24,28,0,10,6,10
70,21800260,0,1610612750,MIN,Minnesota,46,12,8,6,15,8,1,18,10,12,1610612743,DEN,Denver,48,4,11,13,1,14,6,22
71,21800255,0,1610612752,NYK,New York,34,15,7,26,0,0,0,17,7,16,1610612738,BOS,Boston,42,23,15,0,0,8,10,5
72,21800274,0,1610612766,CHA,Charlotte,60,16,10,9,8,7,1,14,10,18,1610612760,OKC,Oklahoma City,48,17,17,13,0,14,11,19
73,21800276,0,1610612743,DEN,Denver,64,23,13,29,5,4,0,11,6,15,1610612753,ORL,Orlando,32,11,8,2,2,15,8,18
74,21800268,0,1610612737,ATL,Atlanta,54,6,29,0,0,1,1,21,12,24,1610612738,BOS,Boston,42,18,23,29,0,16,13,15
75,21800269,0,1610612752,NYK,New York,48,11,12,7,10,15,1,9,10,9,1610612740,NOP,New Orleans,54,26,4,9,0,14,14,16
76,21800265,0,1610612751,BKN,Brooklyn,36,6,5,6,5,4,1,19,10,31,1610612750,MIN,Minnesota,52,17,16,18,0,7,6,7
77,21800282,0,1610612743,DEN,Denver,52,21,10,25,4,4,4,18,15,17,1610612760,OKC,Oklahoma City,50,22,7,4,0,10,14,14
78,21800283,0,1610612742,DAL,Dallas,42,19,9,16,2,2,0,16,8,21,1610612738,BOS,Boston,42,13,15,1,1,18,6,22
79,21800281,0,1610612741,CHI,Chicago,36,13,15,5,5,6,2,15,11,13,1610612750,MIN,Minnesota,58,29,6,21,1,14,12,14
80,21800291,0,1610612752,NYK,New York,42,17,23,9,6,5,3,10,13,10,1610612763,MEM,Memphis,50,7,12,13,1,8,8,5
81,21800298,0,1610612740,NOP,New Orleans,34,17,13,2,1,1,0,22,8,32,1610612738,BOS,Boston,42,18,18,20,2,15,5,16
82,21800295,0,1610612750,MIN,Minnesota,44,11,10,14,5,3,1,9,13,10,1610612739,CLE,Cleveland,30,14,4,6,1,17,10,17
83,21800304,0,1610612743,DEN,Denver,56,15,13,32,2,4,1,12,5,14,1610612747,LAL,Los Angeles,56,4,12,1,0,12,6,14
84,21800301,0,1610612752,NYK,New York,38,9,4,8,5,1,0,13,5,14,1610612765,DET,Detroit,56,8,20,18,0,13,12,15
85,21800307,0,1610612752,NYK,New York,48,9,14,0,0,2,2,15,6,27,1610612755,PHI,Philadelphia,56,9,20,31,0,16,9,13
86,21800311,0,1610612759,SAS,San Antonio,42,15,11,2,5,1,1,19,4,26,1610612750,MIN,Minnesota,56,22,18,48,1,9,9,11
87,21800313,0,1610612760,OKC,Oklahoma City,56,8,13,20,8,8,0,13,6,9,1610612739,CLE,Cleveland,32,6,13,11,2,14,8,13
88,21800319,0,1610612738,BOS,Boston,54,19,18,33,4,5,0,10,8,16,1610612739,CLE,Cleveland,32,10,7,3,0,13,9,18
