Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,id,Player_Temporada,Salario
366,Greg Monroe,28,3TM,C,43,2,480,16.0,0.521,0.026,0.381,15.4,22.9,19.3,8.1,1.4,1.4,12.7,22.6,0.4,0.7,1.1,0.108,-2.0,-1.3,-3.2,-0.1,0,monrogr01,2018,202328,Greg Monroe - 2018,2410167.0
366,Greg Monroe,28,TOR,C,38,2,423,13.5,0.487,0.025,0.379,15.7,23.8,19.9,5.4,1.5,1.6,14.2,22.2,-0.1,0.7,0.6,0.071,-3.5,-1.4,-5.0,-0.3,0,monrogr01,2018,202328,Greg Monroe - 2018,2410167.0
366,Greg Monroe,28,BOS,C,2,0,5,60.5,0.6,0.0,0.0,63.9,0.0,32.0,73.4,0.0,0.0,0.0,43.3,0.1,0.0,0.1,0.535,28.0,-2.8,25.2,0.0,0,monrogr01,2018,202328,Greg Monroe - 2018,2410167.0
366,Greg Monroe,28,PHI,C,3,0,52,31.7,0.736,0.043,0.478,8.4,17.8,13.2,23.5,0.9,0.0,3.5,23.2,0.4,0.0,0.4,0.37,7.8,0.4,8.2,0.1,0,monrogr01,2018,202328,Greg Monroe - 2018,2410167.0
375,Courtney Lee,33,2TM,SG,34,6,428,10.3,0.492,0.426,0.163,2.2,11.2,6.7,12.8,2.4,0.6,9.2,15.3,0.1,0.4,0.4,0.05,-3.4,0.8,-2.5,-0.1,0,leeco01,2018,201584,Courtney Lee - 2018,12253780.0
375,Courtney Lee,33,NYK,SG,12,2,160,13.7,0.527,0.34,0.298,3.8,14.1,8.8,15.1,2.4,1.1,8.6,15.5,0.2,0.1,0.3,0.087,-1.8,1.1,-0.8,0.0,0,leeco01,2018,201584,Courtney Lee - 2018,12253780.0
375,Courtney Lee,33,DAL,SG,22,4,268,8.3,0.47,0.476,0.085,1.2,9.5,5.4,11.4,2.4,0.3,9.6,15.1,-0.1,0.3,0.2,0.028,-4.3,0.7,-3.6,-0.1,0,leeco01,2018,201584,Courtney Lee - 2018,12253780.0
378,Kadeem Allen,26,NYK,PG,19,1,416,16.2,0.574,0.255,0.383,2.0,11.1,6.4,28.7,1.9,0.8,13.6,19.6,0.7,0.2,1.0,0.111,0.2,0.3,0.5,0.3,0,allenka01,2018,1628443,Kadeem Allen - 2018,77.0
384,Luol Deng,33,MIN,SF,22,2,392,14.6,0.588,0.373,0.297,5.4,14.6,10.0,6.5,1.8,1.7,9.5,15.8,0.5,0.3,0.8,0.101,0.2,-0.3,0.0,0.2,0,denglu01,2018,2736,Luol Deng - 2018,16747954.0
386,Raymond Felton,34,OKC,PG,33,0,379,11.2,0.505,0.452,0.096,1.1,8.4,4.6,18.7,1.2,1.3,9.0,16.6,0.3,0.4,0.7,0.087,-1.7,0.4,-1.3,0.1,0,feltora01,2018,101109,Raymond Felton - 2018,2393887.0
392,Brad Wanamaker,29,BOS,PG,36,0,343,14.4,0.597,0.371,0.267,0.9,11.8,6.4,22.5,1.7,0.5,13.9,17.2,0.6,0.4,0.9,0.131,-1.3,0.7,-0.7,0.1,0,wanambr01,2018,202954,Brad Wanamaker - 2018,838.0
395,John Jenkins,27,2TM,SG,26,0,333,9.7,0.536,0.552,0.171,1.8,10.0,5.8,9.9,0.0,0.5,7.4,15.7,0.2,0.0,0.2,0.031,-1.0,-2.4,-3.4,-0.1,0,jenkijo01,2018,203098,John Jenkins - 2018,585.0
395,John Jenkins,27,WAS,SG,4,0,14,20.5,1.5,1.0,0.0,0.0,7.9,3.9,9.9,0.0,0.0,0.0,6.1,0.1,0.0,0.1,0.202,7.6,-1.0,6.6,0.0,0,jenkijo01,2018,203098,John Jenkins - 2018,585.0
395,John Jenkins,27,NYK,SG,22,0,319,9.3,0.518,0.544,0.175,1.9,10.1,5.9,9.9,0.0,0.5,7.5,16.1,0.2,0.0,0.2,0.024,-1.4,-2.5,-3.9,-0.2,0,jenkijo01,2018,203098,John Jenkins - 2018,585.0
406,Robert Williams,21,BOS,C,32,2,283,18.9,0.703,0.0,0.294,10.2,20.4,15.3,3.3,1.5,12.5,14.8,10.3,0.5,0.6,1.2,0.199,-1.7,3.4,1.8,0.3,0,williro04,2018,1629057,Robert Williams - 2018,1656600.0
409,Henry Ellenson,22,2TM,PF,19,0,259,13.1,0.538,0.4,0.263,2.0,25.5,13.4,9.6,1.3,0.7,7.8,19.0,0.2,0.2,0.4,0.077,-1.0,-0.5,-1.5,0.0,0,ellenhe01,2018,1627740,Henry Ellenson - 2018,2199311.0
409,Henry Ellenson,22,DET,PF,2,0,25,14.8,0.551,0.4,0.2,0.0,40.9,19.7,6.2,0.0,0.0,0.0,18.8,0.0,0.0,0.1,0.149,2.1,0.2,2.2,0.0,0,ellenhe01,2018,1627740,Henry Ellenson - 2018,2199311.0
409,Henry Ellenson,22,NYK,PF,17,0,234,12.9,0.536,0.4,0.271,2.2,23.8,12.7,10.0,1.4,0.7,8.6,19.0,0.1,0.2,0.3,0.07,-1.4,-0.5,-1.9,0.0,0,ellenhe01,2018,1627740,Henry Ellenson - 2018,2199311.0
410,Cameron Reynolds,23,MIN,SG,19,0,259,10.4,0.58,0.654,0.115,1.6,11.3,6.4,6.8,1.1,0.7,5.7,14.1,0.3,0.1,0.4,0.078,-1.3,-1.2,-2.5,0.0,0,reynoca01,2018,1629244,Cameron Reynolds - 2018,
413,Guerschon Yabusele,23,BOS,PF,41,1,251,12.5,0.542,0.364,0.286,9.8,12.8,11.3,8.2,1.5,2.5,14.8,17.5,0.2,0.3,0.5,0.088,-2.5,-0.2,-2.7,0.0,0,yabusgu01,2018,1627824,Guerschon Yabusele - 2018,2667600.0
414,Deonte Burton,25,OKC,SG,32,0,240,7.0,0.47,0.329,0.146,1.7,10.7,6.0,5.0,1.2,2.8,9.3,16.3,-0.2,0.3,0.1,0.027,-4.9,0.6,-4.3,-0.1,0,burtode02,2018,1629126,Deonte Burton - 2018,500.0
430,Isaiah Thomas,29,DEN,SG,12,0,181,7.0,0.437,0.434,0.273,3.0,4.8,3.9,18.6,1.4,0.5,14.0,30.4,-0.4,0.1,-0.3,-0.077,-4.0,-2.5,-6.5,-0.2,0,thomais02,2018,202738,Isaiah Thomas - 2018,2029463.0
441,Ron Baker,25,2TM,SG,15,0,152,2.5,0.309,0.65,0.3,0.7,7.1,3.8,12.8,1.9,0.6,18.1,7.8,-0.2,0.1,-0.1,-0.034,-7.7,0.7,-7.0,-0.2,0,bakerro01,2018,1627758,Ron Baker - 2018,4697823.0
441,Ron Baker,25,NYK,SG,11,0,107,4.4,0.376,0.563,0.375,1.0,6.0,3.4,16.1,2.3,0.0,13.9,8.6,0.0,0.0,0.0,0.002,-7.7,1.1,-6.6,-0.1,0,bakerro01,2018,1627758,Ron Baker - 2018,4697823.0
441,Ron Baker,25,WAS,SG,4,0,45,-2.0,0.0,1.0,0.0,0.0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,-0.1,0.0,-0.1,-0.12,-7.9,0.0,-7.9,-0.1,0,bakerro01,2018,1627758,Ron Baker - 2018,4697823.0
448,C.J. Williams,28,MIN,SG,15,0,128,8.8,0.55,0.457,0.029,0.8,5.9,3.3,12.9,2.2,0.0,12.4,13.3,0.1,0.1,0.1,0.042,-3.8,0.2,-3.7,-0.1,0,willicj01,2018,203710,C.J. Williams - 2018,
458,Jared Terrell,23,MIN,SG,14,0,111,0.7,0.372,0.436,0.154,1.0,4.9,2.9,14.4,1.3,1.5,19.4,19.6,-0.4,0.0,-0.3,-0.14,-8.5,-2.3,-10.9,-0.2,0,terreja01,2018,1629123,Jared Terrell - 2018,77.0
461,James Nunnally,28,2TM,SF,15,0,102,7.3,0.503,0.735,0.118,0.0,5.3,2.6,9.5,0.5,0.0,2.7,15.3,0.1,0.0,0.1,0.035,-1.9,-2.9,-4.8,-0.1,0,nunnaja01,2018,203263,James Nunnally - 2018,663.0
461,James Nunnally,28,MIN,SF,13,0,64,12.1,0.593,0.619,0.19,0.0,6.8,3.3,10.9,0.7,0.0,4.2,15.6,0.1,0.0,0.1,0.097,1.4,-1.3,0.1,0.0,0,nunnaja01,2018,203263,James Nunnally - 2018,663.0
461,James Nunnally,28,HOU,SF,2,0,38,-0.8,0.346,0.923,0.0,0.0,3.0,1.5,7.2,0.0,0.0,0.0,14.8,-0.1,0.0,-0.1,-0.068,-7.5,-5.5,-13.0,-0.1,0,nunnaja01,2018,203263,James Nunnally - 2018,663.0
465,Tyler Lydon,22,DEN,PF,25,0,94,9.3,0.595,0.556,0.167,8.0,12.7,10.4,8.2,1.0,0.0,17.2,10.6,0.1,0.1,0.2,0.086,-2.8,-1.4,-4.2,-0.1,0,lydonty01,2018,1628399,Tyler Lydon - 2018,1874640.0
470,Jarred Vanderbilt,19,DEN,PF,17,0,69,12.4,0.513,0.053,0.526,10.9,25.2,18.0,5.9,4.3,1.3,25.5,19.4,-0.1,0.1,0.1,0.037,-5.2,1.0,-4.2,0.0,0,vandeja01,2018,1629020,Jarred Vanderbilt - 2018,838.0
475,Jawun Evans,22,2TM,PG,8,0,65,0.1,0.214,0.214,0.0,1.7,19.0,10.2,19.7,2.2,0.0,30.0,13.2,-0.2,0.0,-0.2,-0.151,-10.4,0.1,-10.3,-0.1,0,evansja01,2018,1628393,Jawun Evans - 2018,1455492.0
475,Jawun Evans,22,PHO,PG,7,0,64,0.7,0.231,0.154,0.0,1.7,19.3,10.4,20.0,2.2,0.0,31.6,12.7,-0.2,0.0,-0.2,-0.139,-9.8,0.5,-9.2,-0.1,0,evansja01,2018,1628393,Jawun Evans - 2018,1455492.0
475,Jawun Evans,22,OKC,PG,1,0,1,-38.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.946,-52.4,-29.1,-81.4,0.0,0,evansja01,2018,1628393,Jawun Evans - 2018,1455492.0
477,Billy Garrett,24,NYK,SG,4,0,63,9.8,0.452,0.296,0.148,0.0,5.1,2.5,18.0,0.8,1.3,6.5,20.9,0.0,0.0,0.0,-0.019,-3.9,-1.7,-5.5,-0.1,0,garrebi01,2018,1628656,Billy Garrett - 2018,67.0
479,Brandon Goodwin,23,DEN,PG,16,0,57,8.3,0.413,0.261,0.478,1.9,3.8,2.8,32.1,0.0,0.0,9.7,23.1,0.0,0.0,0.0,0.021,-4.7,-4.8,-9.5,-0.1,0,goodwbr01,2018,1629164,Brandon Goodwin - 2018,56.0
482,P.J. Dozier,22,BOS,SG,6,0,51,16.0,0.434,0.381,0.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.6,0.1,0.1,0.1,0.123,-1.3,-0.6,-2.0,0.0,0,dozieP.J.01,2018,1628408,P.J. Dozier - 2018,
484,Mitch Creek,26,2TM,SF,5,0,48,20.2,0.55,0.125,0.438,13.2,13.1,13.2,18.6,2.0,0.0,5.0,17.6,0.1,0.0,0.2,0.196,2.4,1.1,3.5,0.1,0,creekmi01,2018,1631486,Mitch Creek - 2018,56.0
484,Mitch Creek,26,BRK,SF,4,0,36,21.5,0.573,0.1,0.7,14.6,14.5,14.6,20.2,1.3,0.0,0.0,15.3,0.2,0.0,0.2,0.258,3.7,2.0,5.7,0.1,0,creekmi01,2018,1631486,Mitch Creek - 2018,56.0
484,Mitch Creek,26,MIN,SF,1,0,12,16.3,0.5,0.167,0.0,8.8,9.0,8.9,13.6,4.0,0.0,14.3,24.5,0.0,0.0,0.0,0.011,-1.7,-1.3,-3.0,0.0,0,creekmi01,2018,1631486,Mitch Creek - 2018,56.0
492,Nick Young,33,DEN,SG,4,0,37,2.3,0.5,0.889,0.0,0.0,2.9,1.5,6.8,0.0,2.4,18.2,12.7,0.0,0.0,0.0,-0.021,-4.3,-2.5,-6.9,0.0,0,youngni01,2018,201156,Nick Young - 2018,284.0
493,Thomas Welsh,22,DEN,C,11,0,36,16.1,0.648,0.538,0.154,0.0,12.1,6.0,20.5,0.0,0.0,6.7,17.7,0.1,0.0,0.1,0.162,2.2,-1.1,1.2,0.0,0,welshth01,2018,1629118,Thomas Welsh - 2018,77.0
496,Isaiah Hicks,24,NYK,PF,3,0,32,17.4,0.588,0.0,0.625,6.4,16.7,11.4,9.4,1.5,7.9,8.9,15.0,0.1,0.0,0.1,0.153,-2.1,2.2,0.1,0.0,0,hicksis01,2018,1628439,Isaiah Hicks - 2018,77.0
499,R.J. Hunter,25,BOS,SG,1,0,26,21.6,0.612,0.769,0.154,4.1,8.2,6.2,18.0,1.9,0.0,0.0,23.1,0.1,0.0,0.1,0.223,3.2,0.4,3.6,0.0,0,hunterj01,2018,1631496,R.J. Hunter - 2018,
502,DeVaughn Akoon-Purcell,25,DEN,SG,7,0,22,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,-0.1,0.0,0.0,-0.051,-7.9,2.1,-5.8,0.0,0,akoonde01,2018,1629152,DeVaughn Akoon-Purcell - 2018,77.0
525,Donte Grantham,23,OKC,SF,3,0,2,-38.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.946,-23.6,-14.0,-37.6,0.0,0,grantdo01,2018,1629055,Donte Grantham - 2018,77.0
528,Tyler Davis,21,OKC,C,1,0,1,0.0,0.0,0.0,0.0,100.0,0.0,51.6,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.471,-9.6,-31.1,-40.7,0.0,0,davisty01,2018,1629093,Tyler Davis - 2018,77.0
8,Shai Gilgeous-Alexander,21,OKC,SG,70,70,2428,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,3.1,3.0,6.1,0.121,1.3,0.4,1.7,2.2,0,gilgesh01,2019,1628983,Shai Gilgeous-Alexander - 2019,3952920.0
11,Nikola Jokić,24,DEN,C,73,73,2336,24.9,0.605,0.238,0.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,MVP-9ASNBA2,jokicni01,2019,203999,Nikola Jokić - 2019,
15,Jayson Tatum,21,BOS,PF,66,66,2265,20.4,0.567,0.383,0.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,3.2,3.7,6.9,0.146,3.5,0.6,4.0,3.4,MVP-12ASNBA3,tatumja01,2019,1628369,Jayson Tatum - 2019,7830000.0
18,Chris Paul,34,OKC,PG,70,70,2208,21.7,0.61,0.343,0.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,MVP-7ASNBA2,paulch01,2019,101108,Chris Paul - 2019,38506482.0
25,Robert Covington,29,2TM,C,70,68,2137,13.3,0.559,0.664,0.172,3.0,20.2,11.4,5.9,2.5,3.7,11.7,17.0,0.7,3.0,3.7,0.083,-1.2,1.3,0.0,1.1,0,covinro01,2019,203496,Robert Covington - 2019,11301219.0
25,Robert Covington,29,MIN,PF,48,47,1411,13.5,0.572,0.629,0.19,2.6,19.5,10.7,5.9,2.6,2.6,12.0,17.8,0.5,1.8,2.3,0.078,-1.2,1.2,0.0,0.7,0,covinro01,2019,203496,Robert Covington - 2019,11301219.0
25,Robert Covington,29,HOU,C,22,21,726,13.1,0.531,0.74,0.132,3.9,21.7,12.7,6.1,2.2,5.7,11.1,15.4,0.2,1.2,1.4,0.094,-1.2,1.4,0.2,0.4,0,covinro01,2019,203496,Robert Covington - 2019,11301219.0
38,Julius Randle,25,NYK,PF,64,64,2080,17.5,0.538,0.23,0.35,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,0.9,1.8,2.7,0.062,0.7,-1.0,-0.3,0.9,0,randlju01,2019,203944,Julius Randle - 2019,18000000.0
55,Dennis Schröder,26,OKC,PG,65,2,1999,16.7,0.575,0.337,0.245,1.1,11.6,6.5,21.9,1.1,0.6,13.4,27.2,1.9,1.8,3.6,0.087,1.1,-1.1,-0.1,1.0,6MOY-2,schrode01,2019,1631516,Dennis Schröder - 2019,
62,Marcus Morris,30,2TM,PF,62,62,1936,14.3,0.57,0.43,0.272,3.2,14.0,8.5,6.8,1.2,1.4,9.7,21.9,2.1,1.5,3.6,0.088,0.6,-0.7,-0.1,0.9,0,morrima03,2019,1631506,Marcus Morris - 2019,15000000.0
62,Marcus Morris,30,NYK,SF,43,43,1387,16.5,0.582,0.415,0.311,3.6,14.7,9.0,6.8,1.2,1.2,9.2,24.4,2.1,0.8,2.9,0.101,1.8,-1.1,0.7,0.9,0,morrima03,2019,1631506,Marcus Morris - 2019,15000000.0
62,Marcus Morris,30,LAC,PF,19,19,549,8.9,0.523,0.483,0.126,2.1,12.3,7.4,6.8,1.1,2.1,11.6,15.8,0.0,0.7,0.6,0.055,-2.5,0.3,-2.2,0.0,0,morrima03,2019,1631506,Marcus Morris - 2019,15000000.0
63,Jaylen Brown,23,BOS,SG,57,57,1934,16.9,0.583,0.381,0.274,3.5,16.5,10.1,9.7,1.6,1.0,11.2,24.7,2.3,2.6,4.9,0.123,1.0,-0.2,0.8,1.4,0,brownja02,2019,1627759,Jaylen Brown - 2019,6534829.0
66,Marcus Smart,25,BOS,SG,60,40,1919,13.8,0.518,0.579,0.223,2.4,10.1,6.3,21.1,2.5,1.4,12.1,18.9,1.7,2.8,4.5,0.112,0.0,1.4,1.4,1.6,DPOY-6,smartma01,2019,203935,Marcus Smart - 2019,12553571.0
68,Will Barton,29,DEN,SF,58,58,1916,15.6,0.549,0.39,0.18,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,2.4,1.8,4.2,0.106,1.2,-0.2,1.1,1.5,0,bartowi01,2019,203115,Will Barton - 2019,12776786.0
71,Jamal Murray,22,DEN,PG,59,59,1904,17.7,0.559,0.362,0.207,2.7,11.2,6.9,22.9,1.7,0.8,11.5,25.2,2.8,1.5,4.3,0.107,2.0,-0.8,1.2,1.5,0,murraja01,2019,1627750,Jamal Murray - 2019,4444746.0
73,Jerami Grant,25,DEN,PF,71,24,1892,14.4,0.591,0.397,0.309,3.4,11.2,7.3,6.6,1.3,2.8,8.0,18.0,2.8,1.6,4.4,0.111,0.1,-0.6,-0.5,0.7,0,grantje01,2019,203924,Jerami Grant - 2019,9346153.0
80,Andrew Wiggins,24,2TM,SF,54,54,1858,16.4,0.536,0.342,0.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.8,1.1,1.9,0.05,1.1,-1.4,-0.3,0.8,0,wiggian01,2019,203952,Andrew Wiggins - 2019,27504630.0
80,Andrew Wiggins,24,MIN,SF,42,42,1455,16.1,0.535,0.348,0.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,0.6,0.8,1.4,0.046,1.1,-1.5,-0.4,0.6,0,wiggian01,2019,203952,Andrew Wiggins - 2019,27504630.0
80,Andrew Wiggins,24,GSW,SF,12,12,403,17.5,0.542,0.314,0.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,0.2,0.3,0.5,0.064,1.0,-1.1,-0.1,0.2,0,wiggian01,2019,203952,Andrew Wiggins - 2019,27504630.0
86,Danilo Gallinari,31,OKC,PF,62,62,1834,19.5,0.612,0.537,0.365,2.1,16.8,9.7,10.3,1.1,0.2,7.4,24.6,4.5,1.9,6.3,0.166,4.1,-0.9,3.3,2.4,0,gallida01,2019,201568,Danilo Gallinari - 2019,22615559.0
96,Gary Harris,25,DEN,SG,56,55,1780,9.7,0.519,0.405,0.177,1.6,8.6,5.1,8.9,2.1,0.7,9.7,15.1,0.5,1.4,1.9,0.052,-2.8,0.3,-2.5,-0.2,0,harriga01,2019,203914,Gary Harris - 2019,18189286.0
106,Kemba Walker,29,BOS,PG,56,56,1742,20.0,0.575,0.532,0.272,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,0.162,4.9,-0.3,4.6,2.9,AS,walkeke02,2019,202689,Kemba Walker - 2019,32742000.0
107,Gordon Hayward,29,BOS,SF,52,52,1740,18.1,0.595,0.317,0.207,3.4,17.8,10.7,18.7,1.1,1.2,11.2,21.1,3.5,2.2,5.7,0.158,2.6,0.1,2.7,2.0,0,haywago01,2019,202330,Gordon Hayward - 2019,32700690.0
111,RJ Barrett,19,NYK,SG,56,55,1704,10.7,0.479,0.271,0.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,-1.6,1.1,-0.5,-0.015,-2.9,-1.5,-4.3,-1.0,ROY-8,barrerj01,2019,1629628,RJ Barrett - 2019,7839960.0
117,Steven Adams,26,OKC,C,63,63,1680,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,0,adamsst01,2019,203500,Steven Adams - 2019,25842697.0
125,Monte Morris,24,DEN,PG,73,12,1636,14.9,0.545,0.304,0.157,1.6,7.7,4.7,22.1,1.7,1.0,8.1,17.5,2.7,1.1,3.8,0.112,0.4,-0.5,-0.2,0.7,0,morrimo01,2019,1628420,Monte Morris - 2019,1588231.0
140,Daniel Theis,27,BOS,C,65,64,1566,17.9,0.631,0.225,0.268,9.7,19.3,14.6,10.1,1.1,5.0,10.2,14.4,4.0,2.6,6.5,0.201,0.6,1.8,2.4,1.7,0,theisda01,2019,1628464,Daniel Theis - 2019,5000000.0
143,Josh Okogie,21,MIN,SG,62,28,1547,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,0.9,1.2,2.2,0.068,-2.4,0.0,-2.4,-0.2,0,okogijo01,2019,1629006,Josh Okogie - 2019,2530680.0
148,Jarrett Culver,20,MIN,SG,63,35,1506,9.6,0.467,0.388,0.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,-1.2,1.1,-0.1,-0.004,-3.3,-0.7,-4.0,-0.8,0,culveja01,2019,1629633,Jarrett Culver - 2019,5813640.0
155,Jeff Teague,31,2TM,PG,59,17,1464,14.6,0.557,0.239,0.403,1.9,8.6,5.2,30.7,1.4,1.1,16.8,19.5,1.9,0.6,2.5,0.082,-0.2,-1.3,-1.5,0.2,0,teaguje01,2019,201952,Jeff Teague - 2019,19000000.0
155,Jeff Teague,31,MIN,PG,34,13,945,15.9,0.578,0.269,0.444,1.6,8.5,4.9,32.5,1.2,1.1,16.4,20.2,1.7,0.4,2.1,0.108,0.6,-1.2,-0.6,0.3,0,teaguje01,2019,201952,Jeff Teague - 2019,19000000.0
155,Jeff Teague,31,ATL,PG,25,4,519,12.2,0.512,0.182,0.321,2.5,8.8,5.6,27.3,1.7,1.0,17.5,18.3,0.2,0.2,0.4,0.035,-1.6,-1.5,-3.2,-0.2,0,teaguje01,2019,201952,Jeff Teague - 2019,19000000.0
157,D'Angelo Russell,23,2TM,PG,45,45,1452,18.7,0.556,0.509,0.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,0.06,3.8,-1.9,1.9,1.4,0,russeda01,2019,1626156,D'Angelo Russell - 2019,27285000.0
157,D'Angelo Russell,23,GSW,PG,33,33,1060,19.1,0.558,0.506,0.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,0.9,0.4,1.3,0.058,4.5,-1.9,2.6,1.2,0,russeda01,2019,1626156,D'Angelo Russell - 2019,27285000.0
157,D'Angelo Russell,23,MIN,PG,12,12,392,17.6,0.553,0.521,0.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,0.2,0.3,0.5,0.064,1.8,-1.7,0.1,0.2,0,russeda01,2019,1626156,D'Angelo Russell - 2019,27285000.0
161,Maurice Harkless,26,2TM,PF,62,48,1427,9.8,0.572,0.346,0.233,4.1,13.3,8.8,6.4,1.9,2.1,14.5,10.7,0.8,1.9,2.7,0.09,-2.6,1.9,-0.7,0.5,0,harklma01,2019,203090,Maurice Harkless - 2019,
161,Maurice Harkless,26,LAC,PF,50,38,1141,9.7,0.584,0.336,0.194,4.4,13.6,9.1,5.5,2.0,2.3,16.3,10.3,0.5,1.7,2.3,0.095,-2.5,2.4,0.0,0.6,0,harklma01,2019,203090,Maurice Harkless - 2019,
161,Maurice Harkless,26,NYK,SF,12,10,286,10.1,0.536,0.379,0.364,2.9,12.3,7.5,9.7,1.5,1.0,8.4,12.4,0.2,0.2,0.4,0.069,-3.2,-0.3,-3.5,-0.1,0,harklma01,2019,203090,Maurice Harkless - 2019,
165,Mitchell Robinson,21,NYK,C,61,7,1412,23.5,0.726,0.0,0.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,4.8,2.0,6.8,0.23,1.6,1.4,2.9,1.8,0,robinmi01,2019,1629011,Mitchell Robinson - 2019,1559712.0
166,Bobby Portis,24,NYK,PF,66,5,1393,14.6,0.53,0.317,0.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1.0,1.9,0.064,0.0,-1.1,-1.1,0.3,0,portibo01,2019,1626171,Bobby Portis - 2019,15000000.0
169,Brad Wanamaker,30,BOS,PG,71,1,1369,12.8,0.577,0.282,0.376,1.7,9.4,5.6,17.8,2.2,0.9,15.3,15.5,1.8,1.8,3.5,0.124,-1.9,1.3,-0.6,0.5,0,wanambr01,2019,202954,Brad Wanamaker - 2019,1445697.0
172,Shabazz Napier,28,2TM,PG,56,32,1344,13.8,0.552,0.526,0.336,2.0,10.9,6.3,27.8,2.4,0.7,19.7,20.0,0.8,0.9,1.7,0.059,-0.7,-0.4,-1.1,0.3,0,napiesh01,2019,203894,Shabazz Napier - 2019,1845301.0
172,Shabazz Napier,28,MIN,PG,36,22,856,13.9,0.539,0.562,0.311,2.0,11.9,6.8,31.3,2.2,0.7,19.1,19.1,0.6,0.6,1.3,0.071,-0.6,-0.2,-0.8,0.3,0,napiesh01,2019,203894,Shabazz Napier - 2019,1845301.0
172,Shabazz Napier,28,WAS,PG,20,10,488,13.6,0.573,0.468,0.376,1.9,9.1,5.4,21.7,2.8,0.7,20.5,21.6,0.1,0.3,0.4,0.039,-0.9,-0.7,-1.6,0.0,0,napiesh01,2019,203894,Shabazz Napier - 2019,1845301.0
195,Terrance Ferguson,21,OKC,SF,56,38,1257,3.7,0.481,0.764,0.091,2.1,4.4,3.3,5.3,1.0,1.2,11.9,9.1,-0.3,0.9,0.6,0.021,-4.8,0.3,-4.5,-0.8,0,fergute01,2019,1628390,Terrance Ferguson - 2019,2475840.0
199,Elfrid Payton,25,NYK,PG,45,36,1246,16.0,0.47,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,1.7,0.065,-0.4,0.4,0.0,0.6,0,paytoel01,2019,203901,Elfrid Payton - 2019,8000000.0
203,Paul Millsap,34,DEN,PF,51,48,1240,16.9,0.591,0.283,0.322,8.9,17.6,13.2,9.6,1.8,2.2,12.3,20.0,2.1,1.4,3.5,0.136,0.3,-0.2,0.1,0.7,0,millspa01,2019,200794,Paul Millsap - 2019,30350000.0
209,Malik Beasley,23,2TM,SG,55,14,1209,12.7,0.546,0.517,0.124,1.6,11.9,6.7,9.4,1.6,0.6,9.2,21.8,0.4,0.8,1.2,0.049,-0.7,-1.4,-2.1,0.0,0,beaslma01,2019,1627736,Malik Beasley - 2019,2731713.0
209,Malik Beasley,23,DEN,SG,41,0,746,10.5,0.511,0.535,0.126,1.4,10.2,5.8,9.1,2.1,0.7,10.2,20.6,-0.2,0.6,0.5,0.03,-2.2,-0.7,-2.9,-0.2,0,beaslma01,2019,1627736,Malik Beasley - 2019,2731713.0
