Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,id,Player_Temporada,Salario
94,Tim Hardaway Jr.,26,2TM,SG,65,63,2057,13.6,0.527,0.48,0.278,1.7,9.8,5.7,12.8,1.3,0.3,8.6,25.4,1.0,0.9,1.8,0.043,-0.1,-2.0,-2.0,0.0,0,hardati02,2018,203501,Tim Hardaway Jr. - 2018,
94,Tim Hardaway Jr.,26,NYK,SG,46,46,1499,14.4,0.531,0.464,0.321,1.8,9.6,5.6,13.5,1.4,0.3,8.9,25.9,1.0,0.5,1.5,0.048,0.4,-1.9,-1.6,0.2,0,hardati02,2018,203501,Tim Hardaway Jr. - 2018,
94,Tim Hardaway Jr.,26,DAL,SG,19,17,558,11.6,0.514,0.524,0.161,1.4,10.3,5.9,10.9,1.0,0.3,7.7,23.9,0.0,0.4,0.4,0.03,-1.2,-2.0,-3.2,-0.2,0,hardati02,2018,203501,Tim Hardaway Jr. - 2018,
96,DeAndre Jordan,30,2TM,C,69,69,2047,19.0,0.674,0.0,0.592,11.7,35.2,23.5,11.6,1.0,3.0,21.4,15.0,4.0,3.1,7.1,0.167,0.8,1.3,2.1,2.1,0,jordade01,2018,201599,DeAndre Jordan - 2018,22897200.0
96,DeAndre Jordan,30,DAL,C,50,50,1554,18.0,0.672,0.0,0.613,11.2,35.9,23.6,9.5,1.0,2.9,21.3,14.4,2.7,2.5,5.3,0.162,0.4,1.3,1.7,1.4,0,jordade01,2018,201599,DeAndre Jordan - 2018,22897200.0
96,DeAndre Jordan,30,NYK,C,19,19,493,22.1,0.681,0.0,0.537,13.3,33.0,22.9,18.2,0.9,3.4,21.6,16.8,1.3,0.6,1.9,0.181,2.2,1.3,3.4,0.7,0,jordade01,2018,201599,DeAndre Jordan - 2018,22897200.0
101,Dario Šarić,24,2TM,PF,81,41,2023,13.1,0.563,0.464,0.216,6.6,17.5,12.1,8.8,1.1,0.4,11.3,17.8,2.3,1.2,3.5,0.084,-0.3,-1.3,-1.6,0.2,0,saricda01,2018,203967,Dario Šarić - 2018,
101,Dario Šarić,24,PHI,PF,13,13,396,8.1,0.496,0.53,0.227,5.8,16.9,11.5,8.9,0.5,0.6,14.7,18.0,-0.1,0.3,0.2,0.023,-3.2,-1.5,-4.7,-0.3,0,saricda01,2018,203967,Dario Šarić - 2018,
101,Dario Šarić,24,MIN,PF,68,28,1627,14.3,0.579,0.449,0.213,6.8,17.7,12.2,8.8,1.2,0.3,10.5,17.8,2.4,0.9,3.3,0.099,0.4,-1.3,-0.8,0.5,0,saricda01,2018,203967,Dario Šarić - 2018,
103,Damyean Dotson,24,NYK,SG,73,40,2004,10.8,0.526,0.49,0.14,1.7,12.2,6.8,10.4,1.4,0.4,8.7,17.3,0.7,0.9,1.5,0.037,-1.7,-0.8,-2.6,-0.3,0,dotsoda01,2018,1628422,Damyean Dotson - 2018,1378242.0
