id,Player,Pos
204222.0,Greg Whittington,PF
1630204.0,Ashton Hagans,PG
1628401.0,Derrick White,SG
201145.0,Jeff Green,PF
1630581.0,Josh Giddey,SF
1626196.0,Josh Richardson,SG
201976.0,Patrick Beverley,PG
1630544.0,Tre Mann,PG
1630538.0,Bones Hyland,SG
1627854.0,Bryn Forbes,SG
1630598.0,Aaron Wiggins,SG
1627752.0,Taurean Prince,PF
1630526.0,Jeremiah Robinson-Earl,C
1629629.0,Cam Reddish,SF
1629656.0,Quentin Grimes,SG
1627863.0,Danuel House Jr.,SF
202326.0,DeMarcus Cousins,C
1630249.0,Vit Krejci,SG
1628432.0,Davon Reed,SG
202324.0,Derrick Favors,C
1630579.0,Jericho Sims,PF
1630322.0,Lindy Waters III,SG
1630846.0,Olivier Sarr,C
1630540.0,Miles McBride,PG
1630233.0,Nathan Knight,PF
1630195.0,Leandro Bolmaro,SF
1630686.0,Georgios Kalaitzakis,SF
1629603.0,Mamadi Diakite,PF
1630285.0,Zavier Simpson,PG
1630573.0,Sam Hauser,SF
1628778.0,Paul Watson,SF
1628981.0,Bruno Fernando,C
204025.0,Melvin Frazier,SG
1629735.0,Chris Silva,PF
1627853.0,Ryan Arcidiacono,PG
1629730.0,Rayjon Tucker,SG
1630238.0,Malik Fitts,PF
1630271.0,Brodric Thomas,SG
203516.0,James Ennis III,SF
203917.0,Nik Stauskas,SG
1627822.0,Petr Cornelie,PF
1629752.0,Juwan Morgan,PF
1630637.0,Carlik Jones,PG
1627782.0,Wayne Selden,SG
1630593.0,McKinley Wright IV,PG
203816.0,Scotty Hopson,SG
1630306.0,Rob Edwards,SG
1630624.0,Feron Hunt,SF
1630346.0,Matt Ryan,SF
2207.0,Joe Johnson,SG
1629788.0,Tyler Hall,SG
1631526.0,C.J. Miles,SG
1629760.0,Matt Mooney,SG
1628404.0,Josh Hart,SF
203484.0,Kentavious Caldwell-Pope,SG
1628973.0,Jalen Brunson,PG
1628971.0,Bruce Brown,SF
1631114.0,Jalen Williams,SG
203497.0,Rudy Gobert,C
201144.0,Mike Conley,PG
203937.0,Kyle Anderson,PF
1627763.0,Malcolm Brogdon,PG
202704.0,Reggie Jackson,PG
1630198.0,Isaiah Joe,SG
1631128.0,Christian Braun,SG
1628418.0,Thomas Bryant,C
1631119.0,Jaylin Williams,C
1629638.0,Nickeil Alexander-Walker,SG
1630647.0,Eugene Omoruyi,SF
1631172.0,Ousmane Dieng,PF
201933.0,Blake Griffin,C
202397.0,Ish Smith,PG
1630568.0,Luka Garza,C
1631212.0,Peyton Watson,SG
1631111.0,Wendell Moore Jr.,SG
1630639.0,A.J. Lawson,SG
1631169.0,Josh Minott,SF
1630215.0,Jared Butler,PG
1631298.0,Jack White,SF
1631120.0,JD Davison,SG
1629662.0,Mfiondu Kabengele,PF
1630551.0,Justin Champagnie,SF
1631211.0,Trevor Keels,SG
