"Temporada","Jugador","Salario","Salario Actual Ajustado a la Inflación"
"2018/19 ","Miles Plumlee","12,400,000","15,460,079"
"2018/19 ","Courtney Lee","12,253,780","15,277,775"
"2018/19 ","JJ Redick","12,250,000","15,273,062"
"2018/19 ","Avery Bradley","12,000,000","14,961,367"
"2018/19 ","Kentavious Caldwell-Pope","12,000,000","14,961,367"
"2018/19 ","Kemba Walker","12,000,000","14,961,367"
"2018/19 ","Will Barton","11,830,358","14,749,861"
"2018/19 ","TJ Warren","11,750,000","14,649,672"
"2018/19 ","Zach Randolph","11,692,308","14,577,742"
"2018/19 ","Patrick Mills","11,571,429","14,427,033"
"2018/19 ","Alec Burks","11,536,515","14,383,503"
"2018/19 ","Omer Asik","11,286,516","14,071,809"
"2018/19 ","Marcus Smart","11,160,716","13,914,964"
"2018/19 ","Jusuf Nurkic","11,111,111","13,853,117"
"2018/19 ","Iman Shumpert","11,011,234","13,728,593"
"2018/19 ","Moe Harkless","10,837,079","13,511,460"
"2018/19 ","Tony Snell","10,607,143","13,224,780"
"2018/19 ","Dante Exum","10,600,000","13,215,874"
"2018/19 ","Meyers Leonard","10,595,506","13,210,271"
"2018/19 ","John Henson","10,577,466","13,187,779"
"2018/19 ","Terrence Ross","10,500,000","13,091,196"
"2018/19 ","Mirza Teletovic","10,500,000","13,091,196"
"2018/19 ","Bojan Bogdanovic","10,500,000","13,091,196"
"2018/19 ","Robert Covington","10,464,092","13,046,427"
"2018/19 ","Rudy Gay","10,087,200","12,576,525"
"2018/19 ","Jon Leuer","10,002,681","12,471,148"
"2018/19 ","Danny Green","10,000,000","12,467,806"
"2018/19 ","Andre Roberson","10,000,000","12,467,806"
"2018/19 ","Darren Collison","10,000,000","12,467,806"
"2018/19 ","Dwight Powell","9,631,250","12,008,055"
"2018/19 ","Matthew Dellavedova","9,607,500","11,978,444"
"2018/19 ","Jared Dudley","9,530,000","11,881,819"
"2018/19 ","Boban Marjanovic","9,490,740","11,832,870"
"2018/19 ","Norman Powell","9,367,200","11,678,843"
"2018/19 ","Josh Richardson","9,367,200","11,678,843"
"2018/19 ","Markieff Morris","9,173,294","11,437,084"
"2018/19 ","Bogdan Bogdanovic","9,000,000","11,221,025"
"2018/19 ","Rajon Rondo","9,000,000","11,221,025"
"2018/19 ","E'Twaun Moore","8,808,685","10,982,497"
"2018/19 ","Kosta Koufos","8,739,500","10,896,239"
"2018/19 ","Fred VanVleet","8,653,847","10,789,448"
"2018/19 ","Wayne Ellington","8,653,076","10,788,486"
"2018/19 ","Julius Randle","8,641,000","10,773,431"
"2018/19 ","Kyle Anderson","8,641,000","10,773,431"
"2018/19 ","Jerryd Bayless","8,575,916","10,692,285"
"2018/19 ","Cristiano Felicio","8,470,980","10,561,453"
"2018/19 ","Markelle Fultz","8,339,880","10,398,000"
"2018/19 ","Jerami Grant","8,333,333","10,389,838"
"2018/19 ","CJ Miles","8,333,333","10,389,838"
"2018/19 ","Joe Harris","8,333,333","10,389,838"
"2018/19 ","Shaun Livingston","8,307,692","10,357,869"
"2018/19 ","Deandre Ayton","8,175,840","10,193,478"
"2018/19 ","JaMychal Green","8,066,667","10,057,364"
"2018/19 ","Garrett Temple","8,000,000","9,974,244"
"2018/19 ","Louis Williams","8,000,000","9,974,244"
"2018/19 ","PJ Tucker","7,959,537","9,923,796"
"2018/19 ","Cory Joseph","7,945,000","9,905,671"
"2018/19 ","Karl-Anthony Towns","7,839,435","9,774,055"
"2018/19 ","Kyle Korver","7,560,000","9,425,661"
"2018/19 ","Darrell Arthur","7,464,912","9,307,107"
"2018/19 ","Lonzo Ball","7,461,960","9,303,427"
"2018/19 ","Doug McDermott","7,333,334","9,143,058"
"2018/19 ","Marvin Bagley","7,314,960","9,120,150"
"2018/19 ","Jae Crowder","7,305,825","9,108,760"
"2018/19 ","DJ Augustin","7,250,000","9,039,159"
"2018/19 ","Lance Thomas","7,119,650","8,876,641"
"2018/19 ","D'Angelo Russell","7,019,698","8,752,023"
"2018/19 ","Davis Bertans","7,000,000","8,727,464"
"2018/19 ","Ersan Ilyasova","7,000,000","8,727,464"
"2018/19 ","Langston Galloway","7,000,000","8,727,464"
"2018/19 ","Jeremy Lamb","7,000,000","8,727,464"
"2018/19 ","Al-Farouq Aminu","6,957,105","8,673,983"
"2018/19 ","Jayson Tatum","6,700,800","8,354,427"
"2018/19 ","Luka Doncic","6,569,040","8,190,151"
"2018/19 ","Nemanja Bjelica","6,500,000","8,104,073"
"2018/19 ","Mario Hezonja","6,500,000","8,104,073"
"2018/19 ","Ben Simmons","6,434,520","8,022,434"
"2018/19 ","Milos Teodosic","6,300,000","7,854,717"
"2018/19 ","Dewayne Dedmon","6,300,000","7,854,717"
"2018/19 ","Marco Belinelli","6,153,846","7,672,495"
