Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
1.0,Julius Randle,26.0,NYK,PF,71.0,71.0,2667.0,19.7,0.567,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9,MVP-8MIP-1ASNBA2,randlju01,2020,Julius Randle,203944.0
2.0,RJ Barrett,20.0,NYK,SG,72.0,72.0,2511.0,13.4,0.535,0.292,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,,barrerj01,2020,RJ Barrett,1629628.0
3.0,Nikola Jokić,25.0,DEN,C,72.0,72.0,2488.0,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8,MVP-1ASNBA1,jokicni01,2020,,
11.0,Anthony Edwards,19.0,MIN,SG,72.0,55.0,2314.0,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1,ROY-2,edwaran01,2020,Anthony Edwards,1630162.0
12.0,Jayson Tatum,22.0,BOS,SF,64.0,64.0,2290.0,21.3,0.576,0.368,0.258,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,4.1,2.5,6.5,0.137,4.2,-0.3,3.9,3.4,AS,tatumja01,2020,Jayson Tatum,1628369.0
48.0,Jaylen Brown,24.0,BOS,SG,58.0,58.0,1999.0,19.9,0.586,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,2.8,2.0,4.8,0.115,3.2,-0.7,2.5,2.3,AS,brownja02,2020,Jaylen Brown,1627759.0
58.0,Reggie Bullock,29.0,NYK,SF,65.0,64.0,1949.0,11.1,0.606,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,0.114,-0.9,0.8,-0.1,0.9,,bullore01,2020,Reggie Bullock,203493.0
63.0,Michael Porter Jr.,22.0,DEN,SF,61.0,54.0,1912.0,20.6,0.663,0.468,0.164,5.4,20.9,13.2,5.6,1.0,2.8,8.1,21.7,4.8,2.1,6.9,0.173,4.0,-0.9,3.1,2.5,,portemi01,2020,Michael Porter Jr.,1629008.0
90.0,Théo Maledon,19.0,OKC,PG,65.0,49.0,1778.0,8.2,0.489,0.51,0.22,1.4,11.0,6.2,18.8,1.5,0.5,17.3,19.4,-1.9,1.1,-0.8,-0.021,-4.0,-1.0,-5.0,-1.3,,maledth01,2020,,
92.0,Ricky Rubio,30.0,MIN,PG,68.0,51.0,1772.0,13.5,0.516,0.43,0.301,1.6,12.4,6.8,33.3,2.6,0.2,16.4,16.0,1.9,1.3,3.1,0.085,-1.9,0.0,-1.9,0.0,,rubiori01,2020,Ricky Rubio,201937.0
100.0,Will Barton,30.0,DEN,SF,56.0,52.0,1736.0,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19.0,0.7,1.5,2.2,0.061,-1.0,-0.8,-1.9,0.1,,bartowi01,2020,Will Barton,203115.0
101.0,Darius Bazley,20.0,OKC,PF,55.0,55.0,1714.0,9.7,0.491,0.414,0.258,3.1,21.2,12.0,8.9,0.8,1.3,13.7,22.1,-2.3,1.4,-0.9,-0.026,-3.1,-1.3,-4.4,-1.0,,bazleda01,2020,Darius Bazley,1629647.0
102.0,Jamal Murray,23.0,DEN,PG,48.0,48.0,1704.0,18.3,0.592,0.399,0.193,2.5,10.4,6.5,20.3,1.9,0.7,11.2,24.8,3.1,1.5,4.6,0.129,2.7,-0.7,2.0,1.7,,murraja01,2020,Jamal Murray,1627750.0
105.0,Karl-Anthony Towns,25.0,MIN,C,50.0,50.0,1689.0,23.1,0.612,0.36,0.355,8.2,26.4,17.0,22.6,1.1,2.9,13.7,29.1,3.8,1.6,5.4,0.153,4.3,0.2,4.5,2.8,,townska01,2020,Karl-Anthony Towns,1626157.0
119.0,Daniel Theis,28.0,BOS,C,42.0,37.0,1027.0,15.0,0.625,0.33,0.233,5.8,18.1,11.9,9.3,1.2,3.9,11.4,15.0,1.7,1.2,2.9,0.134,-0.6,1.0,0.4,0.6,,theisda01,2020,Daniel Theis,1628464.0
122.0,Marcus Smart,26.0,BOS,PG,48.0,45.0,1581.0,13.8,0.539,0.553,0.318,2.5,9.3,5.9,23.6,2.2,1.4,14.2,18.4,1.8,1.5,3.3,0.1,-0.4,0.2,-0.3,0.7,,smartma01,2020,Marcus Smart,203935.0
126.0,Nerlens Noel,26.0,NYK,C,64.0,41.0,1547.0,14.8,0.638,0.013,0.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,1.6,3.6,5.2,0.162,-2.4,3.8,1.4,1.3,,noelne01,2020,Nerlens Noel,203457.0
128.0,Luguentz Dort,21.0,OKC,SG,52.0,52.0,1543.0,10.1,0.513,0.515,0.257,2.5,10.3,6.4,8.8,1.4,1.1,10.0,21.7,-0.6,1.0,0.3,0.011,-2.6,-0.9,-3.5,-0.6,,dortlu01,2020,Luguentz Dort,1629652.0
134.0,Jaden McDaniels,20.0,MIN,PF,63.0,27.0,1511.0,8.9,0.552,0.54,0.123,3.6,13.4,8.3,6.4,1.1,3.4,10.8,12.0,0.5,0.9,1.4,0.046,-3.3,-0.2,-3.5,-0.6,,mcdanja02,2020,Jaden McDaniels,1630183.0
142.0,Elfrid Payton,26.0,NYK,PG,63.0,63.0,1484.0,11.7,0.478,0.158,0.172,4.7,11.0,7.9,21.6,1.6,0.6,13.3,23.2,-0.9,1.9,1.0,0.032,-2.9,-0.1,-3.0,-0.4,,paytoel01,2020,Elfrid Payton,203901.0
153.0,Kenrich Williams,26.0,OKC,PF,66.0,13.0,1426.0,14.0,0.599,0.285,0.153,6.1,14.0,10.0,16.4,1.8,1.1,14.8,15.3,1.6,1.2,2.8,0.096,-1.2,0.5,-0.7,0.4,,willike04,2020,Kenrich Williams,1629026.0
154.0,Isaiah Roby,22.0,OKC,PF,61.0,34.0,1425.0,11.9,0.555,0.254,0.273,6.4,18.6,12.4,11.4,1.7,2.3,19.0,17.7,-0.3,1.5,1.3,0.043,-3.7,0.4,-3.3,-0.5,,robyis01,2020,Isaiah Roby,1629676.0
155.0,Facundo Campazzo,29.0,DEN,PG,65.0,19.0,1425.0,11.6,0.558,0.686,0.289,1.8,8.9,5.3,20.2,2.7,1.0,17.1,13.1,1.6,1.5,3.1,0.105,-1.7,1.2,-0.6,0.5,6MOY-15,campafa01,2020,Facundo Campazzo,1630267.0
160.0,Aaron Gordon,25.0,DEN,PF,25.0,25.0,648.0,14.1,0.564,0.311,0.214,6.7,13.9,10.3,11.8,1.3,2.1,11.7,17.2,0.7,0.6,1.3,0.099,-0.1,-0.3,-0.4,0.3,,gordoaa01,2020,Aaron Gordon,203932.0
163.0,Kemba Walker,30.0,BOS,PG,43.0,43.0,1369.0,17.7,0.559,0.522,0.22,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,2.1,1.1,3.3,0.115,2.8,-0.7,2.1,1.4,,walkeke02,2020,Kemba Walker,202689.0
170.0,Naz Reid,21.0,MIN,C,70.0,15.0,1347.0,18.2,0.599,0.299,0.286,6.4,20.0,12.9,8.7,1.2,4.9,9.5,22.5,1.9,1.3,3.2,0.113,-0.1,-0.2,-0.2,0.6,,reidna01,2020,Naz Reid,1629675.0
178.0,Svi Mykhailiuk,23.0,OKC,SF,30.0,9.0,690.0,10.6,0.531,0.505,0.071,1.9,11.6,6.7,12.3,1.7,0.8,14.4,21.0,-0.5,0.5,-0.1,-0.004,-2.2,-1.1,-3.3,-0.2,,mykhasv01,2020,Svi Mykhailiuk,1629004.0
186.0,Tristan Thompson,29.0,BOS,C,54.0,43.0,1287.0,14.2,0.54,0.009,0.368,14.5,23.5,19.0,7.2,0.9,2.4,14.1,14.8,1.5,1.4,2.9,0.107,-1.5,-1.0,-2.5,-0.2,,thomptr01,2020,Tristan Thompson,202684.0
187.0,Derrick Rose,32.0,NYK,PG,35.0,3.0,937.0,18.8,0.565,0.211,0.18,1.6,10.0,5.9,26.3,1.7,1.5,9.6,24.3,1.5,1.2,2.8,0.142,1.9,0.5,2.4,1.0,,rosede01,2020,Derrick Rose,201565.0
189.0,Payton Pritchard,23.0,BOS,SG,66.0,4.0,1268.0,12.4,0.582,0.593,0.108,2.9,11.1,6.9,13.3,1.4,0.7,10.8,16.7,1.6,0.9,2.5,0.095,-0.3,-0.4,-0.7,0.4,,pritcpa01,2020,Payton Pritchard,1630202.0
192.0,Evan Fournier,28.0,BOS,SF,16.0,10.0,472.0,14.1,0.584,0.552,0.081,1.2,11.4,6.3,14.9,2.1,2.0,9.6,18.0,0.6,0.5,1.1,0.111,0.1,0.1,0.3,0.3,,fournev01,2020,Evan Fournier,203095.0
194.0,Alec Burks,29.0,NYK,SG,49.0,5.0,1255.0,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.126,0.9,0.6,1.5,1.1,,burksal01,2020,Alec Burks,202692.0
196.0,Immanuel Quickley,21.0,NYK,PG,64.0,3.0,1243.0,15.8,0.557,0.522,0.3,2.2,9.7,6.0,16.2,1.2,0.9,8.1,25.6,1.8,1.4,3.2,0.125,1.4,-0.5,0.9,0.9,,quickim01,2020,Immanuel Quickley,1630193.0
200.0,Hamidou Diallo,22.0,OKC,SG,32.0,5.0,761.0,15.0,0.536,0.138,0.444,5.0,17.7,11.3,16.4,1.9,1.4,12.1,22.5,0.3,0.8,1.0,0.065,-2.1,0.6,-1.5,0.1,,diallha01,2020,Hamidou Diallo,1628977.0
204.0,Malik Beasley,24.0,MIN,SG,37.0,36.0,1214.0,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24.0,0.9,0.4,1.3,0.053,1.6,-1.8,-0.2,0.6,,beaslma01,2020,Malik Beasley,1627736.0
207.0,Josh Okogie,22.0,MIN,SG,59.0,37.0,1197.0,9.1,0.524,0.425,0.425,5.5,8.7,7.1,7.0,2.1,2.0,12.5,12.1,0.5,0.8,1.3,0.051,-3.7,0.3,-3.3,-0.4,,okogijo01,2020,Josh Okogie,1629006.0
208.0,D'Angelo Russell,24.0,MIN,PG,42.0,26.0,1196.0,17.6,0.555,0.475,0.229,1.4,8.9,5.0,33.6,1.8,1.3,13.5,29.1,1.0,0.6,1.6,0.063,3.3,-1.7,1.6,1.1,,russeda01,2020,D'Angelo Russell,1626156.0
210.0,Monte Morris,25.0,DEN,PG,47.0,13.0,1196.0,14.0,0.574,0.346,0.189,1.0,8.0,4.6,17.1,1.4,1.1,7.5,16.5,2.0,0.8,2.9,0.115,0.1,-0.5,-0.3,0.5,,morrimo01,2020,Monte Morris,1628420.0
212.0,Shai Gilgeous-Alexander,22.0,OKC,SG,35.0,35.0,1180.0,21.6,0.623,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.5,0.143,3.9,0.2,4.1,1.8,,gilgesh01,2020,Shai Gilgeous-Alexander,1628983.0
