Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
2.0,Anthony Edwards,21.0,MIN,SG,79.0,79.0,2842.0,17.4,0.564,0.375,0.274,1.9,15.9,9.0,19.3,2.1,1.8,13.0,29.9,0.2,3.6,3.8,0.064,1.0,0.0,1.0,2.1,AS,edwaran01,2022,Anthony Edwards,1630162.0
5.0,Julius Randle,28.0,NYK,PF,77.0,77.0,2737.0,20.3,0.581,0.444,0.371,5.6,25.2,15.4,18.5,0.9,0.7,11.5,29.5,5.0,3.1,8.1,0.142,3.9,-0.2,3.7,3.9,CPOY-14ASNBA3,randlju01,2022,Julius Randle,203944.0
7.0,Jayson Tatum,24.0,BOS,SF,74.0,74.0,2732.0,23.7,0.607,0.44,0.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,0.185,4.8,0.7,5.5,5.1,MVP-4CPOY-10ASNBA1,tatumja01,2022,Jayson Tatum,1628369.0
22.0,RJ Barrett,22.0,NYK,SG,73.0,73.0,2475.0,12.9,0.531,0.332,0.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,0.5,1.8,2.2,0.043,-1.2,-1.9,-3.1,-0.7,,barrerj01,2022,RJ Barrett,1629628.0
24.0,Josh Hart,27.0,NYK,SF,25.0,1.0,750.0,17.1,0.703,0.331,0.363,6.9,19.0,12.9,16.2,2.2,1.5,17.3,12.6,1.8,1.0,2.8,0.179,1.4,2.0,3.4,1.0,,hartjo01,2022,Josh Hart,1628404.0
32.0,Shai Gilgeous-Alexander,24.0,OKC,PG,68.0,68.0,2416.0,27.2,0.626,0.122,0.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,8.4,3.0,11.4,0.226,5.7,1.5,7.3,5.6,MVP-5CPOY-7ASNBA1,gilgesh01,2022,Shai Gilgeous-Alexander,1628983.0
33.0,Jaden McDaniels,22.0,MIN,SF,79.0,79.0,2416.0,12.0,0.611,0.376,0.201,4.3,9.8,7.1,8.4,1.5,2.7,12.6,15.8,2.0,2.4,4.4,0.087,-1.7,0.5,-1.2,0.5,,mcdanja02,2022,Jaden McDaniels,1630183.0
35.0,Jaylen Brown,26.0,BOS,SF,67.0,67.0,2405.0,19.1,0.581,0.352,0.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,1.6,3.4,5.0,0.1,1.5,-0.2,1.3,2.0,ASNBA2,brownja02,2022,Jaylen Brown,1627759.0
39.0,Kentavious Caldwell-Pope,29.0,DEN,SG,76.0,76.0,2381.0,11.5,0.598,0.505,0.198,1.7,8.1,5.0,9.8,2.3,1.3,11.1,14.1,2.0,2.5,4.5,0.091,-1.6,0.6,-1.0,0.6,,caldwke01,2022,Kentavious Caldwell-Pope,203484.0
41.0,Jalen Brunson,26.0,NYK,PG,68.0,68.0,2379.0,21.2,0.597,0.269,0.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,6.9,1.8,8.7,0.175,4.4,-0.5,3.9,3.5,MVP-12CPOY-4,brunsja01,2022,Jalen Brunson,1628973.0
43.0,Josh Giddey,20.0,OKC,PF,76.0,76.0,2367.0,17.1,0.533,0.209,0.13,6.6,20.9,13.6,29.9,1.1,1.2,15.1,24.6,1.3,2.7,4.0,0.081,1.5,-0.3,1.2,1.9,,giddejo01,2022,Josh Giddey,1630581.0
45.0,Immanuel Quickley,23.0,NYK,SG,81.0,21.0,2344.0,16.3,0.578,0.485,0.265,2.7,13.1,7.9,17.4,1.7,0.6,8.7,20.9,4.4,2.3,6.7,0.137,1.3,0.4,1.7,2.1,6MOY-2,quickim01,2022,Immanuel Quickley,1630193.0
47.0,Nikola Jokić,27.0,DEN,C,69.0,69.0,2323.0,31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17.0,27.2,11.2,3.8,14.9,0.308,8.5,4.5,13.0,8.8,MVP-2CPOY-13ASNBA2,jokicni01,2022,,
49.0,Derrick White,28.0,BOS,SG,82.0,70.0,2319.0,15.4,0.604,0.516,0.253,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,0.154,1.1,1.3,2.4,2.6,,whitede01,2022,Derrick White,1628401.0
51.0,D'Angelo Russell,26.0,MIN,PG,54.0,54.0,1778.0,16.1,0.604,0.521,0.23,1.8,8.5,5.2,27.0,1.6,1.0,15.5,22.8,2.3,1.5,3.8,0.103,1.9,-0.7,1.2,1.4,,russeda01,2022,D'Angelo Russell,1626156.0
55.0,Bruce Brown,26.0,DEN,SF,80.0,31.0,2280.0,13.3,0.571,0.343,0.206,3.3,13.0,8.3,15.7,1.9,2.0,13.2,17.8,1.7,2.6,4.3,0.09,-1.1,0.6,-0.5,0.9,,brownbr01,2022,Bruce Brown,1628971.0
57.0,Jalen Williams,21.0,OKC,SG,75.0,62.0,2276.0,15.6,0.601,0.258,0.241,3.9,12.2,7.9,15.4,2.1,1.4,12.3,18.4,3.0,2.6,5.6,0.119,-0.4,0.7,0.3,1.3,ROY-2,willija06,2022,Jalen Williams,1631114.0
59.0,Luguentz Dort,23.0,OKC,SF,74.0,73.0,2272.0,11.3,0.513,0.468,0.297,5.9,10.4,8.1,9.2,1.6,0.9,8.5,19.8,0.9,2.1,2.9,0.062,-2.0,-1.0,-3.0,-0.6,,dortlu01,2022,Luguentz Dort,1629652.0
78.0,Rudy Gobert,30.0,MIN,C,70.0,70.0,2148.0,18.9,0.675,0.005,0.623,12.2,29.8,21.2,5.6,1.2,3.9,14.9,16.3,4.3,3.5,7.8,0.174,0.0,0.7,0.7,1.4,,goberru01,2022,Rudy Gobert,203497.0
81.0,Jamal Murray,25.0,DEN,PG,65.0,65.0,2133.0,18.0,0.571,0.415,0.207,2.7,11.0,6.9,27.5,1.5,0.7,11.3,26.1,3.3,1.9,5.1,0.116,2.6,-1.3,1.3,1.8,,murraja01,2022,Jamal Murray,1627750.0
86.0,Quentin Grimes,22.0,NYK,SG,71.0,66.0,2121.0,11.7,0.619,0.676,0.163,2.5,9.4,5.9,9.7,1.1,1.2,9.7,14.4,3.2,1.6,4.8,0.108,-0.3,0.1,-0.1,1.0,,grimequ01,2022,Quentin Grimes,1629656.0
96.0,Aaron Gordon,27.0,DEN,PF,68.0,68.0,2055.0,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,,gordoaa01,2022,Aaron Gordon,203932.0
98.0,Grant Williams,24.0,BOS,PF,79.0,23.0,2045.0,10.3,0.605,0.611,0.256,4.7,14.5,9.7,8.4,1.0,1.3,13.4,13.1,1.9,2.6,4.4,0.104,-1.8,0.7,-1.1,0.5,,willigr01,2022,Grant Williams,1629684.0
100.0,Mike Conley,35.0,MIN,PG,24.0,24.0,753.0,16.1,0.631,0.587,0.311,2.4,8.6,5.6,21.5,1.8,0.5,9.8,16.8,1.8,0.7,2.5,0.158,1.5,0.6,2.0,0.7,,conlemi01,2022,Mike Conley,201144.0
113.0,Marcus Smart,28.0,BOS,PG,61.0,61.0,1957.0,12.1,0.538,0.568,0.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,1.0,2.7,3.7,0.092,-1.8,0.8,-1.0,0.5,,smartma01,2022,Marcus Smart,203935.0
114.0,Kyle Anderson,29.0,MIN,PF,69.0,46.0,1957.0,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2,,anderky01,2022,Kyle Anderson,203937.0
123.0,Al Horford,36.0,BOS,C,63.0,63.0,1922.0,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,,horfoal01,2022,Al Horford,201143.0
145.0,Michael Porter Jr.,24.0,DEN,SF,62.0,62.0,1798.0,16.8,0.621,0.556,0.147,4.2,17.2,10.9,5.3,1.0,1.4,7.3,22.7,2.6,1.8,4.3,0.116,2.0,-1.8,0.2,1.0,,portemi01,2022,Michael Porter Jr.,1629008.0
153.0,Malcolm Brogdon,30.0,BOS,PG,67.0,0.0,1744.0,18.2,0.615,0.406,0.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,3.6,2.2,5.8,0.161,2.3,0.6,2.8,2.1,6MOY-1,brogdma01,2022,Malcolm Brogdon,1627763.0
167.0,Reggie Jackson,32.0,DEN,PG,16.0,2.0,319.0,9.0,0.476,0.531,0.094,1.1,8.8,5.0,20.9,1.4,0.3,12.5,20.8,-0.2,0.2,0.1,0.008,-3.8,-1.3,-5.1,-0.3,,jacksre01,2022,Reggie Jackson,202704.0
169.0,Isaiah Hartenstein,24.0,NYK,C,82.0,8.0,1626.0,14.2,0.567,0.113,0.217,14.1,22.2,18.1,8.3,1.6,3.7,15.6,11.2,2.2,2.4,4.6,0.136,-1.5,1.2,-0.3,0.7,,harteis01,2022,Isaiah Hartenstein,1628392.0
171.0,Mitchell Robinson,24.0,NYK,C,59.0,58.0,1591.0,18.9,0.652,0.0,0.436,18.4,20.0,19.2,4.5,1.7,6.5,10.9,10.1,4.0,2.6,6.5,0.197,1.0,1.4,2.4,1.7,,robinmi01,2022,Mitchell Robinson,1629011.0
201.0,Isaiah Joe,23.0,OKC,SG,73.0,10.0,1395.0,14.5,0.626,0.776,0.197,2.0,11.6,6.7,8.7,1.6,0.5,6.6,17.7,2.5,1.3,3.8,0.131,1.3,-0.4,0.9,1.0,,joeis01,2022,Isaiah Joe,1630198.0
