game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
22100756,0,1610612743,DEN,Denver,44,11,15,36,5,7,1,10,5,11,1610612749,MIL,Milwaukee,44,4,5,4,0,15,7,27
22100757,0,1610612750,MIN,Minnesota,66,16,15,21,5,2,0,16,7,16,1610612762,UTA,Utah,38,13,9,7,2,20,7,22
22100762,0,1610612738,BOS,Boston,40,13,13,32,0,1,0,10,13,8,1610612748,MIA,Miami,26,8,2,0,1,19,10,24
22100770,0,1610612743,DEN,Denver,42,13,11,7,6,3,0,12,4,13,1610612750,MIN,Minnesota,46,19,11,30,0,10,5,13
22100775,0,1610612738,BOS,Boston,44,11,10,12,6,8,1,19,5,21,1610612766,CHA,Charlotte,42,8,24,5,0,16,5,28
22100776,0,1610612752,NYK,New York,50,15,18,1,1,1,0,15,5,17,1610612763,MEM,Memphis,48,25,16,19,2,11,17,10
22100778,0,1610612760,OKC,Oklahoma City,48,22,8,12,16,9,2,20,8,21,1610612742,DAL,Dallas,54,23,2,7,1,14,6,8
22100779,0,1610612743,DEN,Denver,42,12,6,7,8,7,0,14,3,20,1610612762,UTA,Utah,64,13,11,9,1,8,10,8
22100782,0,1610612765,DET,Detroit,50,22,4,8,9,8,1,16,10,21,1610612750,MIN,Minnesota,54,4,23,16,0,14,6,10
22100795,0,1610612757,POR,Portland,58,14,8,10,13,7,0,12,9,7,1610612760,OKC,Oklahoma City,28,11,8,7,1,15,10,17
22100788,0,1610612765,DET,Detroit,36,19,7,0,0,0,0,11,11,11,1610612738,BOS,Boston,42,12,7,24,1,14,4,8
22100794,0,1610612743,DEN,Denver,32,14,7,6,18,15,0,15,2,13,1610612740,NOP,New Orleans,60,6,13,8,1,15,8,21
22100801,0,1610612758,SAC,Sacramento,56,14,11,17,2,5,1,16,7,19,1610612760,OKC,Oklahoma City,56,5,14,1,0,14,3,20
22100799,0,1610612752,NYK,New York,48,12,25,21,5,5,0,14,14,18,1610612747,LAL,Los Angeles,72,21,17,9,0,13,7,20
22100803,0,1610612765,DET,Detroit,46,14,11,5,17,7,1,11,6,16,1610612750,MIN,Minnesota,40,13,20,13,0,10,10,13
22100804,0,1610612751,BKN,Brooklyn,32,13,18,7,4,4,0,10,7,13,1610612743,DEN,Denver,64,13,10,22,1,11,9,12
22100806,0,1610612738,BOS,Boston,58,21,15,33,0,0,2,16,8,16,1610612753,ORL,Orlando,48,12,10,0,2,19,5,16
22100814,0,1610612752,NYK,New York,40,22,4,12,15,9,0,16,15,29,1610612762,UTA,Utah,46,10,6,11,2,12,8,16
22100813,0,1610612760,OKC,Oklahoma City,52,9,8,8,5,4,1,18,5,26,1610612744,GSW,Golden State,46,14,2,16,0,15,7,13
22100824,0,1610612758,SAC,Sacramento,52,12,9,3,15,5,0,19,8,16,1610612750,MIN,Minnesota,50,23,29,25,2,14,9,8
22100817,0,1610612738,BOS,Boston,64,9,16,35,0,0,1,14,8,14,1610612751,BKN,Brooklyn,54,15,6,0,1,14,14,20
22100821,0,1610612743,DEN,Denver,54,16,21,27,7,5,0,13,7,13,1610612752,NYK,New York,54,18,8,5,1,9,4,19
22100827,0,1610612760,OKC,Oklahoma City,38,14,23,1,2,1,1,18,2,25,1610612761,TOR,Toronto,58,13,19,21,0,16,4,24
22100830,0,1610612758,SAC,Sacramento,72,17,20,13,9,9,1,14,11,19,1610612750,MIN,Minnesota,52,17,8,13,0,10,9,14
22100837,0,1610612744,GSW,Golden State,42,13,18,7,15,10,1,8,7,11,1610612752,NYK,New York,40,17,10,13,2,15,15,20
22100843,0,1610612741,CHI,Chicago,56,11,15,18,16,17,2,15,5,17,1610612750,MIN,Minnesota,62,10,16,5,0,9,6,9
22100840,0,1610612760,OKC,Oklahoma City,52,15,14,3,7,13,1,16,6,16,1610612755,PHI,Philadelphia,46,15,21,19,0,11,5,6
22100845,0,1610612752,NYK,New York,28,13,16,23,12,7,1,13,5,19,1610612757,POR,Portland,48,12,16,12,2,17,5,24
22100850,0,1610612743,DEN,Denver,46,15,22,8,16,7,1,18,8,22,1610612761,TOR,Toronto,52,11,20,8,0,7,6,10
22100857,0,1610612754,IND,Indiana,54,23,17,10,5,2,0,13,10,22,1610612750,MIN,Minnesota,50,11,24,18,1,14,4,11
