Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
116.0,Jeff Green,35.0,DEN,PF,75.0,63.0,1849.0,12.5,0.627,0.318,0.374,2.6,11.1,7.0,7.3,0.7,1.3,10.3,16.3,2.7,1.2,3.9,0.101,-1.2,-1.3,-2.5,-0.2,,greenje02,2021,Jeff Green,201145.0
118.0,Mitchell Robinson,23.0,NYK,C,72.0,62.0,1848.0,20.7,0.722,0.0,0.528,16.8,19.1,17.9,3.2,1.6,7.1,12.4,11.4,5.3,3.2,8.5,0.221,1.0,1.2,2.2,2.0,,robinmi01,2021,Mitchell Robinson,1629011.0
119.0,Dennis Schröder,28.0,BOS,PG,49.0,25.0,1433.0,13.5,0.543,0.329,0.248,2.2,10.0,6.2,22.0,1.4,0.3,13.8,23.1,1.0,1.8,2.8,0.092,-1.2,0.0,-1.2,0.3,,schrode01,2021,,
125.0,Robert Williams,24.0,BOS,C,61.0,61.0,1804.0,22.1,0.745,0.003,0.245,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,6.0,3.9,9.9,0.262,2.4,3.1,5.5,3.4,DPOY-7,williro04,2021,,
126.0,Jaden McDaniels,21.0,MIN,PF,70.0,31.0,1803.0,10.3,0.553,0.455,0.128,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,0.7,1.7,2.4,0.065,-2.9,-0.1,-2.9,-0.4,,mcdanja02,2021,Jaden McDaniels,1630183.0
127.0,Immanuel Quickley,22.0,NYK,PG,78.0,3.0,1802.0,14.6,0.543,0.547,0.278,1.8,13.1,7.4,24.5,1.5,0.2,10.9,22.2,2.5,1.8,4.2,0.113,0.2,0.0,0.2,1.0,6MOY-10,quickim01,2021,Immanuel Quickley,1630193.0
145.0,Josh Giddey,19.0,OKC,SF,54.0,54.0,1700.0,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5,,giddejo01,2021,Josh Giddey,1630581.0
154.0,Luguentz Dort,22.0,OKC,SG,51.0,51.0,1665.0,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1.0,9.8,23.3,0.2,1.1,1.4,0.04,-1.5,-0.7,-2.3,-0.1,,dortlu01,2021,Luguentz Dort,1629652.0
162.0,Josh Richardson,28.0,BOS,SG,44.0,0.0,1087.0,12.2,0.57,0.455,0.207,2.7,9.6,6.2,8.7,1.6,1.9,9.4,16.7,1.0,1.5,2.6,0.113,-1.0,1.2,0.3,0.6,,richajo01,2021,Josh Richardson,1626196.0
181.0,Austin Rivers,29.0,DEN,SG,67.0,18.0,1480.0,7.2,0.546,0.66,0.126,1.5,6.9,4.3,8.0,1.7,0.4,12.8,12.6,0.1,1.1,1.2,0.037,-3.5,-0.3,-3.8,-0.7,,riverau01,2021,Austin Rivers,203085.0
182.0,Patrick Beverley,33.0,MIN,PG,58.0,54.0,1476.0,14.8,0.539,0.555,0.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,2.3,1.7,4.1,0.132,0.6,2.1,2.7,1.7,,beverpa01,2021,Patrick Beverley,201976.0
203.0,Tre Mann,20.0,OKC,PG,60.0,26.0,1367.0,10.2,0.501,0.463,0.139,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22.0,-1.0,1.0,0.1,0.002,-3.3,-1.1,-4.4,-0.8,,manntr01,2021,Tre Mann,1630544.0
