Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
90.0,Wesley Matthews,32.0,IND,SG,23.0,23.0,725.0,9.2,0.543,0.619,0.229,1.7,8.1,5.0,10.1,1.3,0.5,11.8,15.8,0.3,0.7,1.0,0.067,-2.0,-0.4,-2.4,-0.1,,matthwe02,2018,Wesley Matthews,202083.0
94.0,Tim Hardaway Jr.,26.0,2TM,SG,65.0,63.0,2057.0,13.6,0.527,0.48,0.278,1.7,9.8,5.7,12.8,1.3,0.3,8.6,25.4,1.0,0.9,1.8,0.043,-0.1,-2.0,-2.0,0.0,,hardati02,2018,Tim Hardaway Jr.,203501.0
94.0,Tim Hardaway Jr.,26.0,NYK,SG,46.0,46.0,1499.0,14.4,0.531,0.464,0.321,1.8,9.6,5.6,13.5,1.4,0.3,8.9,25.9,1.0,0.5,1.5,0.048,0.4,-1.9,-1.6,0.2,,hardati02,2018,Tim Hardaway Jr.,203501.0
94.0,Tim Hardaway Jr.,26.0,DAL,SG,19.0,17.0,558.0,11.6,0.514,0.524,0.161,1.4,10.3,5.9,10.9,1.0,0.3,7.7,23.9,0.0,0.4,0.4,0.03,-1.2,-2.0,-3.2,-0.2,,hardati02,2018,Tim Hardaway Jr.,203501.0
96.0,DeAndre Jordan,30.0,2TM,C,69.0,69.0,2047.0,19.0,0.674,0.0,0.592,11.7,35.2,23.5,11.6,1.0,3.0,21.4,15.0,4.0,3.1,7.1,0.167,0.8,1.3,2.1,2.1,,jordade01,2018,DeAndre Jordan,201599.0
96.0,DeAndre Jordan,30.0,DAL,C,50.0,50.0,1554.0,18.0,0.672,0.0,0.613,11.2,35.9,23.6,9.5,1.0,2.9,21.3,14.4,2.7,2.5,5.3,0.162,0.4,1.3,1.7,1.4,,jordade01,2018,DeAndre Jordan,201599.0
96.0,DeAndre Jordan,30.0,NYK,C,19.0,19.0,493.0,22.1,0.681,0.0,0.537,13.3,33.0,22.9,18.2,0.9,3.4,21.6,16.8,1.3,0.6,1.9,0.181,2.2,1.3,3.4,0.7,,jordade01,2018,DeAndre Jordan,201599.0
101.0,Dario Šarić,24.0,2TM,PF,81.0,41.0,2023.0,13.1,0.563,0.464,0.216,6.6,17.5,12.1,8.8,1.1,0.4,11.3,17.8,2.3,1.2,3.5,0.084,-0.3,-1.3,-1.6,0.2,,saricda01,2018,,
101.0,Dario Šarić,24.0,PHI,PF,13.0,13.0,396.0,8.1,0.496,0.53,0.227,5.8,16.9,11.5,8.9,0.5,0.6,14.7,18.0,-0.1,0.3,0.2,0.023,-3.2,-1.5,-4.7,-0.3,,saricda01,2018,,
101.0,Dario Šarić,24.0,MIN,PF,68.0,28.0,1627.0,14.3,0.579,0.449,0.213,6.8,17.7,12.2,8.8,1.2,0.3,10.5,17.8,2.4,0.9,3.3,0.099,0.4,-1.3,-0.8,0.5,,saricda01,2018,,
103.0,Damyean Dotson,24.0,NYK,SG,73.0,40.0,2004.0,10.8,0.526,0.49,0.14,1.7,12.2,6.8,10.4,1.4,0.4,8.7,17.3,0.7,0.9,1.5,0.037,-1.7,-0.8,-2.6,-0.3,,dotsoda01,2018,Damyean Dotson,1628422.0
109.0,Al Horford,32.0,BOS,C,68.0,68.0,1973.0,20.2,0.605,0.281,0.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,19.0,4.5,2.8,7.4,0.179,3.3,1.9,5.1,3.6,,horfoal01,2018,Al Horford,201143.0
110.0,Monte Morris,23.0,DEN,PG,82.0,6.0,1970.0,16.2,0.577,0.323,0.115,1.9,8.8,5.3,21.7,1.8,0.2,6.6,17.1,4.4,1.8,6.2,0.151,1.1,0.3,1.5,1.7,6MOY-9,morrimo01,2018,Monte Morris,1628420.0
117.0,Terrance Ferguson,20.0,OKC,SG,74.0,74.0,1931.0,6.4,0.566,0.673,0.118,1.7,6.0,3.8,4.8,1.0,0.7,9.4,10.6,1.2,1.6,2.8,0.07,-3.9,0.1,-3.8,-0.9,,fergute01,2018,Terrance Ferguson,1628390.0
119.0,Jaylen Brown,22.0,BOS,SG,74.0,25.0,1913.0,13.6,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.2,0.7,2.3,2.9,0.073,-1.6,-0.4,-2.1,0.0,,brownja02,2018,Jaylen Brown,1627759.0
124.0,Paul Millsap,33.0,DEN,PF,70.0,65.0,1895.0,17.9,0.57,0.239,0.374,8.7,20.2,14.4,10.6,2.2,2.5,10.9,19.6,3.2,2.9,6.1,0.155,0.7,1.0,1.7,1.8,,millspa01,2018,Paul Millsap,200794.0
